peak_id	log2fc	pvalue	padj	significant
peak_177	-1.066610	1e-6	1e-4	TRUE
peak_178	0.000000	0.2	0.5	FALSE
peak_179	0.000000	0.2	0.5	FALSE
peak_180	0.000000	0.2	0.5	FALSE
peak_181	0.000000	0.2	0.5	FALSE
peak_182	0.000000	0.2	0.5	FALSE
peak_183	-2.612422	1e-6	1e-4	TRUE
peak_184	0.000000	0.2	0.5	FALSE
peak_185	0.000000	0.2	0.5	FALSE
peak_186	0.000000	0.2	0.5	FALSE
peak_187	0.000000	0.2	0.5	FALSE
peak_188	0.000000	0.2	0.5	FALSE
peak_189	0.000000	0.2	0.5	FALSE
peak_190	2.982906	1e-6	1e-4	TRUE
peak_191	0.000000	0.2	0.5	FALSE
peak_192	0.000000	0.2	0.5	FALSE
peak_193	0.000000	0.2	0.5	FALSE
peak_194	2.197521	1e-6	1e-4	TRUE
peak_195	0.000000	0.2	0.5	FALSE
peak_196	0.000000	0.2	0.5	FALSE
peak_197	0.000000	0.2	0.5	FALSE
peak_198	0.000000	0.2	0.5	FALSE
peak_199	0.000000	0.2	0.5	FALSE
peak_200	0.000000	0.2	0.5	FALSE
